address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
90 Adelaide Street W,"{'OutdoorSeating': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'BikeParking': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsPriceRange2': '1', 'WiFi': ""'no'"", 'Alcohol': ""'none'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",8k62wYhDVq1-652YbJi5eg,"Bagels, Donuts, Food, Cafes, Coffee & Tea, Restaurants, Bakeries",Toronto,,1,43.6498592,-79.3820602,Tim Hortons,M5H 3V9,8,3.0,ON
"150 John Street, Unit 102","{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""'free'"", 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True'}",1k1Jep8-CT3LI1bG2JG6Eg,"Coffee & Tea, Food",Toronto,,1,43.6493363504,-79.390976914,Tim Hortons,M9N 1J8,5,2.0,ON
2862 Ellesmere Road,"{'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'Caters': 'False', 'RestaurantsReservations': 'False', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'none'"", 'OutdoorSeating': 'False', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",ccTA3iIHza7I4fUgVvbIeA,"Restaurants, Cafes",Toronto,,1,43.7838598,-79.2051993,Tim Hortons,M1E 4B8,5,2.5,ON
119  Spadina Avenue,"{'RestaurantsPriceRange2': '1', 'WiFi': ""'no'"", 'OutdoorSeating': 'False'}",gqGnHza3_7Y53NzXEzDpzg,"Food, Coffee & Tea, Bagels, Donuts",Toronto,,0,43.646919747,-79.3951460347,Tim Hortons,M5V 2K2,6,2.0,ON
101 College Street,"{'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'Alcohol': ""u'none'"", 'HasTV': 'True', 'WiFi': ""u'free'""}",YBu--ie7mLv3SC-ZRm_wyA,"Coffee & Tea, Cafes, Donuts, Restaurants, Food",Toronto,,1,43.6595632673,-79.3891258003,Tim Horton's,M5G 1L7,5,3.0,ON
150 Dupont Street,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'WiFi': ""'no'"", 'OutdoorSeating': 'False', 'BikeParking': 'True'}",-WDVyBroK3S_fOXmQmaVFQ,"Donuts, Coffee & Tea, Food",Toronto,,1,43.6759019038,-79.4029709362,Tim Horton's,M5R 2E6,4,1.5,ON
249 Queen's Quay,"{'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'True', 'WiFi': ""'free'"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}",Wm7RROKOfPZBHuG1QMT7pw,"Food, Coffee & Tea",Toronto,,1,43.6387093134,-79.386319924,Tim Horton's,M5V 1Z4,7,3.5,ON
300 Borough Drive,"{'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'BikeParking': 'True', 'WiFi': ""u'no'""}",M3IBaTYgt8KDEUsq3Yno6g,"Shopping, Donuts, Coffee & Tea, Food",Toronto,,1,43.7767555,-79.2590081,Tim Hortons,M1P 4P5,3,4.0,ON
322A King Street W,"{'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'WiFi': ""'free'"", 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'BikeParking': 'True'}",Uyla4dquQS1oD6puUCjPkA,"Bakeries, Food, Donuts, Coffee & Tea",Toronto,"{'Monday': '7:0-23:0', 'Tuesday': '7:0-23:0', 'Wednesday': '7:0-23:0', 'Thursday': '7:0-23:0', 'Friday': '7:0-23:0', 'Saturday': '7:0-23:0', 'Sunday': '7:0-23:0'}",0,43.646977,-79.389683,Tim Horton's,M5V 1J2,29,3.0,ON
2363 Warden Avenue,"{'Caters': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True'}",K3RpHoLDHFOYnnaWA8PLGQ,"Coffee & Tea, Food, Bakeries",Toronto,,1,43.7852581,-79.310151849,Tim Hortons,M1T 1V7,6,3.0,ON
