business_id,cool,date,funny,review_id,stars,text,useful,user_id
kmF4ghAzgUNlKj0qifeSRw,0,2013-05-07 15:58:09,0,m7pz7SBiXmjZTKDy28LfPg,2.0,"really? TWO AND HALF inches room from the top of my grande frap. i asked why it's not filled to the top, it's for the whip!? that's what the rounded cap is for. hogwash!  

as for lattes, poorly made as well. taste more like a cup of steamed milk, barely espresso.  baristas should be better trained in making drinks here.",0,A9PzIlg1jlezCcpuN9V8UQ
Uyla4dquQS1oD6puUCjPkA,0,2013-09-04 04:56:36,2,H8X9XuLO51wykE4PIa5qBQ,2.0,"Being raised in the western world, a cup of java is essential in the morning especially good with a cream cheese bagel or a donut or a timbit or a danish or.... ANYHOW, most will agree that NOTHING  beats the smell of fresh coffee in the morning. Or tea. Steeped tea in particular, is tried and true morning picker upper. 

i will confess that I am a Timmies fanatic and hold it dear to my heart, and it pains me to write such a review about one that was so dear; but I am so VEXED and I need to vent. I am giving this location a 2 star cuz i have nostalgia but really it's a ONE.

This particular location has been dear to be for as long as I can remember- it's been my go-to place on any day or night for a lil bit of java fix, whether it be during cramp time for exams or just to catch up with a buddy over a warm cup(s) of whatever; it was open 24 hrs for the longest time which made it the perfect spot.

Then it wasn't 24hrs anymore except on Fridays and Saturdays which bites but still good. I have always enjoyed the quick service here even when the line went out the doors and had no problems returning to THIS location even though there are many within walking distance, until recently.

So Currently I am working two jobs; one in day and one in night because I am insane. This makes good cup(s) of java essential to my being awake; I can't imagine how much more I spend at Timmies these days.Anywho.

Since I have started my night gig(4 months ago), I can't seem to get no satisfaction from this place. The coffee is ALWAYS burnt - I thought maybe it was because I came near closing time that it may be the case. But no, any time after 5pm I have been here, the coffee is BURNT. So I switched to steeped tea; and the friggin TEA is burnt! How do you burn tea? Well it is brewed the way and stored same way coffees are so if it sits for a long time on the burner it burns. Why am I paying for burnt anything? Because the service was good. But the service of the night crew completely shat itself recently- I have never met such rude set of people who not only ignore your existence in the store ,rudely repeat after you, talk in another tongue in front of you(which I find rude) and openly roll their eyes at you. However, beggers can't be choosers and I continued to drink burnt crap because all other Timmies in the area closes before 11pm - until recently. 

Recently I discovered that this particular set of people -do not practice what we know to be a Timmies practice? you know, writing the time when the pot was brewed and dumping it after a certain time- they ran a national campaign for that not too long ago- yeah, they don't do that here during the night shift.
If they are ignoring one of the most fundamental things that makes Timmies what it is , I dare ask what else they're not doing so I am taking my tiny broken wallet else where.

That is all. I am done ranting.",1,StCSYeJ1I-G1LbdpW65kGQ
Uyla4dquQS1oD6puUCjPkA,0,2015-11-06 10:18:07,0,LZAUNFhMvodi1m67fOOMnQ,5.0,"A very surprising new discover after Starbucks. For my first time in Canada (as a little french very exited by the trip), I was really happy to find this little cofee with their fantastic donuts and  the athmosphere very pleasant. It seems a little like the Central perk in Friends. In winter it's verry cool to stay 3 or 4 hours in this place with a hot chocolate.

Perfect.",0,0eIioEV3IVg5fcqQLfyXBg
Uyla4dquQS1oD6puUCjPkA,0,2008-08-20 06:04:09,1,vEL7WSsiyG6i2amHW68Xgw,5.0,"Powdered Timbits with raspberry filling.  'NUFF SAID!. 

(Basically its donut holes with raspberry filling)  

Its my Canadian addiction.  This was the one at the corner of my hotel.  So I'll focus on this one.  My mom came back from Calgary and I asked them to bring us some. :)   I ask my coworkers to bring some.  LOL.  

So bad but so good. 

Most of the time you can just get a dozen timbits random.  There are more but this one is our favorite.",0,nPcPMvJnidYfpXyEd1KLkA
Uyla4dquQS1oD6puUCjPkA,1,2011-09-27 16:07:38,0,pU8j5e69Dgrl9aiiveJYNg,4.0,"Tim Hortons! What is it? That was the first question that came into my mind as I passed by various establishments with the name. What is it known for? Obviously a Canadian establishment, but what do they sell?

A cousin informed us that it's basically a coffee place. It's one of those stereotypical things you think about when you think Canada-Hockey, Tim Horton's, etc.

The husband, cousin, and I stopped by at this location for a coffee after dinner. My husband loves it in comparison to Starbucks. Tim Horton's-we need a place in CA. =D",1,cDz4PbqLBkn2FLqMtNaXAg
XWmKkm9pjvGcONXjtQnLaw,3,2010-11-27 23:39:53,2,8_CUoY7rTV6hoUlDe46VBg,2.0,"Well, on the one hand it's just Starbucks.  On the other hand it's close and open later than any other coffee-serving place in a 2-block area.  So it gets a lot of credit for being there and being available.  

But they also play a lot of Christmas music; more than anything else on the planet I hate Christmas music.  So during the next month if I want to come here (or any Starbucks) I have to have upbeat music blaring in my ears to drown it out.  That's not convenient. That level of inconvenience for over 1/12 of the year definitely costs them a star.",3,t9e9-sMgkg0DhNHzstc1Ww
jVJcR4y8q7FuwlK0cYVuyw,0,2017-07-19 22:51:49,0,yfc4oZGlPvkO8qKU_AIebw,4.0,"I really like coming to this location, especially after a long day of shopping at Sherway Gardens. There's something about this location that makes me feel so relaxed. I like how they have bar tables/stools near the front of the store to make use of the space and sunlight. There are also a few high tables and some round tables as you walk further into the store. Definitely a spacious starbucks, but I can see how busy it can get during peak hours and/or weekends. 

When I got there today, I was served by 2 kind baristas. They both had a smile on their faces and were friendly. I liked that they were also very flexible with my orders even when I had to change it midway. 

I was quite satisfied with this location, so I'll definitely come back here next time to get my usual java chip frappicino after shopping",0,r0WMBsH20aquSDGKo5_oRA
K3RpHoLDHFOYnnaWA8PLGQ,1,2017-11-07 18:14:04,0,9fvcs62Cw6eUJk7Jczsj3w,4.0,"附近来讲算ok大间的tim hortons,系huntingwood同warden交界的东南角，隔离系间大大的shoppers drug mart.停车位都几多。柜台有三个下单区。因为呢间座位多，不少人都会离呢度做下功课开下会甘。门口刚好分隔左两边座位区，并提供洗手间可用。所以几适合聊天地方，不错的。",1,z9w399cBpCAKXhH_JA1AtQ
jVJcR4y8q7FuwlK0cYVuyw,0,2013-08-07 22:17:30,0,hLcMkKcej6JQsGOkN2TTmQ,4.0,"Its  Starbucks
Great Parking",0,X4cwQL_JZZnAUyCbOwz3pw
ccTA3iIHza7I4fUgVvbIeA,1,2012-09-12 05:03:10,2,gknsNeKmqk4H2sqgiwkKZA,2.0,Lets just say this place gets an interesting crowd. Its well maintained all things considered and the staff are relatively polite and fast. They burn the coffie and and the fellow patrons will bother you with absolute non-sense. It can be either annoying or hillarious Either way inspite of loving the place it is a dump and so I must give it the stars it deservs.,1,4TBbuqD_vpsuwGAsINmc7A
8zhQrSmdFFowL5fsGFPdpg,0,2012-01-05 20:24:40,0,HU45Mnuzh4eLpf0iHUAApQ,5.0,"This Starbucks is always very clean, the cafe itself, as well as the washrooms. Baristas always seem to be friendly and chatty, and I've never encountered someone who was grumpy, pissy, or a chore to deal with. I can't say this is typical of the establishment; I may just have amazing luck whenever I go.

This old bank, situated just south of Bloor St, where Dundas and Roncesvalles split, has a good amount of seating. There are two tables to the right (upon entering), near the table with all the coffee accessories on it (milk, cream, etc.)

To the left, there are four comfy chairs with a dividing wall, the other side of which has more tables and chairs.

They have a very nice patio, with plenty of room for you to enjoy a coffee while reading, working, or even playing games on your laptop.

The only issue with this Starbucks, and it's not the fault of the business itself, is that because of it's close proximity to the Dundas West subway station (a less than two minute walk), is it's often very busy. The line always moves quick, but if you're looking for a place to sit, you may have issues. It isn't as bad during the warmer months, as people will be sitting on the patio, or just standing around outside.

Cowboy Jim heartily endorses this Starbucks, and gets five out of five spurs.",0,tHEREn6UywS-mx2RpRp_4g
_pPwJtNAos0Irk987FYNpg,0,2017-04-20 07:40:03,0,rJ4j46CXiEhomm3H96yo1Q,5.0,"Love this Starbucks. There's a guy who works here, I think his name could be Will. He works mainly nights, but he is such a lovely and friendly guy, so helpful.",0,AtoEeGDWmcVBnUobbxjilQ
ccTA3iIHza7I4fUgVvbIeA,0,2015-11-07 01:21:34,0,CyRMBHuYoiHPt6F_EsuOJQ,3.0,"Coming home from university - it's not always easy to study at home. Unlike other places to study near here like UTSC or Coffee Cultures, this place is rarely full or super crowded (unless you're going at lunch) so you don't waste time going to find you can't get a seat. The staff here is generally quick and friendly however it's not necessarily always quick to be cleaned. The food and drink is like in any Tim Hortons and doesn't stand out in anyway - I've yet to have an order be given incorrectly or feel like the wait is too long to be worthwhile. It may not be as cozy as other places but it works. Would probably give it one more star if I saw the initiative to clean up the place quicker - especially since it's not the busiest location. Come here for the timmies, stay if you don't want to waste your time looking for seats at another place!",0,6J54a__LWqJgNVy4VoG0Gw
jVJcR4y8q7FuwlK0cYVuyw,0,2013-12-09 01:40:45,0,2qjgogUnD-4l4p0ky1A5Vg,4.0,"The Shop is connected to Sherway Gardens and is on one of the west mall entrance side, so you will have to go outside the mall. The shop looked quite new, has a great vibe and look. There was decent seating availability and the service was fast, friendly and they made the drink right! 

You can get Second cup or Timothy's inside the mall if you are not in a mood to go outside. I parked beside Starbucks and got the coffee before going in.",0,jnB_saJqNfOmVoCWquhAzg
0HIiowOQJgs46UL8Vt3lsQ,0,2015-08-07 14:30:47,0,nuLhKhtXxc36er5ZygTr8Q,3.0,This is a pretty small Starbucks nestled in the back of the Indigo at Yorkdale Mall. They don't have that many chairs here so be prepared to wait or grab a seat before ordering. The counter can get backed up with all the people that come here but the staff work smoothly so it doesn't take long before you're served.,0,CSA-YFyZWlxPTeAZRJqMWA
Wm7RROKOfPZBHuG1QMT7pw,0,2015-04-16 18:00:54,0,Sjpcj5ARmD963l0i1MIiLw,3.0,"Some locations are better than others in terms of service. So far, this location is exceptional, the cashier/server spoke and understood English quite well and was efficient. Caveat - I've only been here 2 times and this is a new location.

The only downside for me at this location was the number of WiFi cyber squatters at lunch. Couldn't find a seat to eat lunch inside, so was forced to sit outside, and it was chilly!

Mgmt  needs to do a better job managing people buying a small drink to surf.
 One such fella, was there the entire 30+ minutes I was, and had been there when I arrived. 

He was still there the I left. Using it as an office!

Hence only 3 .",0,LrH5Gpy0rlQR6Yh0VhiDRw
6nCcjMGRfpIiIi5JMgUNrg,0,2016-10-27 17:01:44,0,yH3Ij5MQjY1R6ezsXMFKgA,3.0,"Good location, I like that they serve wine and spirits different than the other locations.",0,makmXbL_GIaF-aktACo38A
2iYGfGTI2Bm56rUaJfpZug,2,2010-08-24 08:02:58,0,Xp5NY0EJt1GecOvalomquQ,5.0,"Had a great service experience here! 
As my hubby works for Starbucks in Nova Scotia and has made a specialty drink I love. So I could order it when I was away or sans hubby he entered it into the MyStarbucks app in my iPhone. This way I can hand it to the Batista and order my fave drink!
There was one barista working today that was particulary friendly and we chatted about our fave mix and match drinks!
very impressed with the service here!",2,8cjItsiiurxkpOuYJM1rKg
bD5sbDj_lMYnyUpbG3xm3Q,0,2016-08-13 12:30:01,1,fEpgAYgSJyjy7AxSAaQsfQ,1.0,"Terrible customer service.  Was waiting in the middle...a few customers walked in and stood by the side counter and even though acknowledged I was waiting ahead of them the server was rude and had a bad attitude telling me where the line actually is.  The customers had no problem with me ordering a coffee but the server wanted me to go behind everyone and wait further.  I politely said no thanks and told him there are other coffee options around and walked out.  Went to Timothy,  better coffee and pleasant staff.  Never again to this location",0,r8NfhsV92ew8_es-t7lZWA
0HIiowOQJgs46UL8Vt3lsQ,0,2014-04-21 20:41:17,0,3z4HXkzF4KTJYlgLam5oag,5.0,"What makes this place special is that it is so busy and staff is happy and wonderful

I always score a free sample of something while in queue

They are rockstars",0,UgWvxLS9xFvOxLILqxez2Q
Wm7RROKOfPZBHuG1QMT7pw,0,2018-09-04 02:28:19,0,sru9IrLSGGarjN-s49Xa1A,3.0,"Good iced caramel mocha; however, very disorganized lining procedure. Had to look at an arrow on the ground to see how to be organized in a line. Every register should actually have a line and it would streamline crowds.",0,0Z70a08cCLezxmWnI49rFw
6nCcjMGRfpIiIi5JMgUNrg,0,2014-02-09 00:01:45,1,7f0qMFNM7eLyU0QmKHKywA,2.0,"Absolutely the worst starbucks! The workers talk way to much. It's 7:30 am I want my damn coffee and be on my way. No they aren't just being friendly and talking to me they're talking to each other and taking forever to make my coffee! I don't have time for this at 7:30 am! The manager was there the other day and she was one of the annoying people talking like honestly you're running a business it's busy and people are waiting for their drinks! 

The drinks just like any other starbucks but really I can't handle the chit chat when I'm waiting on my drink. I feel like when I'm paying $6.50 for a coffee I should have it promptly the worst part is there is rarely anyone ahead of me and I still wind up waiting forever for these people to make my coffee... What this location needs is all new staff preferably people who talk less.",1,lbOMcwVrr8xMlCcENw2FKw
M3IBaTYgt8KDEUsq3Yno6g,6,2016-06-24 19:56:54,2,mH3d6sTNNdPosoom5A77WQ,4.0,"This is such a welcome change from the Timmies in the food court of the mall. While there is no place to sit down here not that it's any easier to find a place to sit in the food court, it's also not as crowded and the service is fast. But then again that may have to do with the lack of a crowd. 

I find that the two food court locations are horrible when it comes to getting your order out, the food court is always so loud! And then finding a place  can be a challenge. 

I really like the lay out and it looks so much more modern! The food and menu are the same but it looks so much different a better different! I will only come to this Timmies when I am in the mall the next time.",4,fEElH8y0NX6ekcjpDnEeAQ
6nCcjMGRfpIiIi5JMgUNrg,0,2010-03-20 20:01:17,0,dpIzZFFmkEUz9hvTOVwXiA,2.0,"Nice Starbucks with lots of pastries to choose from... 
Could use a bit more seating but it felt cozy

I heard the Vanilla Buttercream cupcake call out my name... alas it might have just been my stuffed nose and ears playing tricks on me (stupid cold) because Mrs. Buttercream wasn't as fresh as I would have enjoyed her.

Maybe next time. 
*Sighs*",0,2VKVhy1SwaixHCeiWglLUQ
1W5VSOsR6p4YFN8NHeNznA,0,2012-05-31 04:06:39,0,mMA1x2P48EZsCNTuCt2DDA,3.0,"Patio... A nice patio makes this Starbucks one of the most popular place for the dogs and their owners... at least on this nice Spring morning.

The interior though quite spacious but a little dark...not a lot of tables, so might have a hard time getting a seat if the patio is not open.

Surprisingly busy... but the lines does moves fast!",0,CxDOIDnH8gp9KXzpBHJYXw
3dY5ljdznVZPZun37v2PWQ,0,2017-08-30 16:14:03,0,w3p57fU0srY-NJMTAJwxMQ,4.0,"Yesterday I visited this location when in the area and the barista did a really great job.

1) There was no lineup
2) The Barrista was really nice
3) My drink was made really quickly 
4) My drink tasted delicious!

I'd definitely return to this location to get another drink when in the area.",0,X-VOe5bzT9EJu_L_Bt0nLQ
bD5sbDj_lMYnyUpbG3xm3Q,0,2016-10-28 15:04:47,0,kURUhWOz4nbvrBiR_YM_Ww,4.0,"This location has solid customer service, I have never had an issue of the many times I have been here. Staff keeps the place fairly clean as well. I frequent this place when I need to study. It can get a little loud inside but overall this is a pretty average Starbucks that is great to have in the neighborhood if you want to just pick up your Starbucks favorites.",0,7QXn78wK1YbLjjkudO_PtQ
1W5VSOsR6p4YFN8NHeNznA,1,2011-05-31 06:28:09,0,vwm4RTZFp68ju9hrbBMHUg,4.0,"When it comes to mass produced coffee I prefer Starbucks to Timmies any day! The coffee itself deserves 3 stars but this location in particular deserves an extra star for its amazing staff. 

They are always super nice even when they have lineup out the door and helpful when looking for a particular gift (bought a french press for a friend).

My only gripe is they never have enough seating.",2,2VKVhy1SwaixHCeiWglLUQ
3dY5ljdznVZPZun37v2PWQ,0,2014-05-11 19:16:07,0,N_AoE6V7vTRt1K47vXnDlw,3.0,"As far as Starbucks go, this one is pretty mediocre.  I've had good service and shitty service.  Everyone seems like this is their first barrista job.  There's usually only one person working the whole store, so it can be slow, and since they don't know what they're doing, even slower.",1,m5b84-nPPVNLlDtZyVGZ3w
Uyla4dquQS1oD6puUCjPkA,0,2013-06-03 01:14:56,0,wQjE-Rsqlcd_XEE_6rJEDQ,4.0,"Great walk up to a second level Hortons.  I like walking up the steps to get to Timmys.  

Panini breakfast sandwich with egg, cheese, and ham.  Solid and thin, like a mcgriddle pressed down super hard.  Tasty nonetheless.

Get it.",1,cjJGQnketJwynr0MwtxXXg
jVJcR4y8q7FuwlK0cYVuyw,0,2013-04-12 02:06:43,0,J-uKLVl_OqMoWeleIcPQsA,3.0,"Pretty good spot to kill time if you have a laptop. I was able to scoop a spot by a power outlet.

Please note, though. The hot chocolate is NOT dairy free. I kind of with the baristas had the presence of mind to check the mix ingredients, even after I told them how I was VERY allergic to dairy.",0,j6wLUT0ZXi-x0otelYIFpA
