address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
17-66 Wellington Street W,"{'RestaurantsPriceRange2': '2', 'WiFi': ""'free'"", 'BikeParking': 'True', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'Caters': 'False', 'Alcohol': ""'none'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",CSaB0_tKunqfcOqbw5FdAw,"Food, Coffee & Tea",Toronto,"{'Monday': '5:30-19:0', 'Tuesday': '5:30-19:0', 'Wednesday': '5:30-19:0', 'Thursday': '5:30-19:0', 'Friday': '5:30-19:0'}",1,43.647923,-79.381353,Starbucks,M5J 2W4,8,4.0,ON
139 Yorkville Ave,"{'RestaurantsTakeOut': 'True', 'GoodForKids': 'False', 'RestaurantsPriceRange2': '1', 'WiFi': ""'free'"", 'HasTV': 'False', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'True'}",X6Cgn59q3i3vK-lqzVY6gQ,"Cafes, Restaurants, Food, Coffee & Tea",Toronto,,1,43.7454374813,-79.4065709131,Starbucks,M5R 1C4,3,3.0,ON
"1 First Canadian Place, 77 Adelaide Street W","{'WiFi': ""'free'"", 'BikeParking': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'Caters': 'True'}",PNzGMlH0SnvIMxIESVNLgw,"Food, Coffee & Tea",Toronto,,1,43.64842,-79.3819,Starbucks,M5X 1C1,3,4.0,ON
1606-25 The West Mall,"{'NoiseLevel': ""u'loud'"", 'Caters': 'False', 'RestaurantsReservations': 'False', 'HasTV': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'Alcohol': ""u'none'"", 'RestaurantsAttire': ""u'casual'"", 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",jVJcR4y8q7FuwlK0cYVuyw,"Restaurants, Food, Cafes, Coffee & Tea",Toronto,"{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '8:0-20:0'}",1,43.6128989614,-79.5557354906,Starbucks,M9C 1B8,15,3.0,ON
205 Humber College Boulevard,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False'}",POuD26KrQ_ssxKuSFfXY0A,"Coffee & Tea, Food, Bakeries",Toronto,"{'Monday': '7:30-17:0', 'Tuesday': '7:30-17:0', 'Wednesday': '7:30-17:0', 'Thursday': '7:30-17:0', 'Friday': '7:30-17:0'}",1,43.729443,-79.607311,Starbucks,M9W 5L7,6,2.5,ON
2201 Dundas St W,"{'WiFi': ""u'free'"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'True'}",8zhQrSmdFFowL5fsGFPdpg,"Food, Coffee & Tea",Toronto,"{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '6:0-22:0', 'Sunday': '6:30-21:30'}",1,43.6534629,-79.4514725,Starbucks,M6R 1X5,14,3.5,ON
"Yorkdale Shopping Center, 3401 Dufferin Street","{'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'WiFi': ""'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'DogsAllowed': 'False'}",0HIiowOQJgs46UL8Vt3lsQ,"Coffee & Tea, Food",Toronto,"{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '9:30-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}",1,43.7254226167,-79.4521206528,Starbucks,M6A 2T9,18,3.0,ON
621 King Street W,"{'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': None, 'street': True, 'validated': None, 'lot': None, 'valet': False}""}",XWmKkm9pjvGcONXjtQnLaw,"Food, Coffee & Tea",Toronto,"{'Monday': '6:0-23:0', 'Tuesday': '6:0-23:0', 'Wednesday': '6:0-23:0', 'Thursday': '6:0-23:0', 'Friday': '6:0-23:0', 'Saturday': '7:0-23:0', 'Sunday': '7:0-22:0'}",1,43.6440961,-79.4011702,Starbucks,M5V 1K4,7,3.5,ON
3079-3081 Bloor Street W,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True'}",6nCcjMGRfpIiIi5JMgUNrg,"Coffee & Tea, Food",Toronto,"{'Monday': '6:0-21:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '6:0-21:0', 'Friday': '6:0-21:30', 'Saturday': '6:0-20:0', 'Sunday': '6:0-20:0'}",1,43.6465971,-79.5139148,Starbucks,M8X 1C7,10,3.0,ON
555 University Avenue,"{'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'"", 'BikeParking': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",_pPwJtNAos0Irk987FYNpg,"Cafes, Restaurants, Food, Coffee & Tea",Toronto,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,43.6570957,-79.3877344,Starbucks,M5G 1X8,15,4.5,ON
